164647 particles, 452 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
260 39798 52933 0.278564 21.705311 30 1 21.705311 30 1.187797 0.379000
261 55330 100397 0.379531 33.381641 88 1 33.381641 88 1.186925 0.381000
263 65289 119699 0.447558 18.278790 29 1 18.278790 29 1.183825 0.387000
264 51174 90676 0.886346 3.403700 15 1 3.403700 15 1.183293 0.389000
265 68098 126454 0.745650 2.424102 10 1 2.424102 10 1.178714 0.398000
267 72204 142181 0.613431 14.888100 42 1 14.888100 42 1.177597 0.400000
271 55147 99902 1.550206 2.491391 18 1 2.491391 18 1.173200 0.410000
273 73169 147211 0.433356 19.422609 36 1 19.422609 36 1.170000 0.416000
276 49656 85309 0.920240 3.876877 9 1 3.876877 9 1.164205 0.429000
279 66145 122451 1.808421 2.534421 14 1 2.534421 14 1.157370 0.445000
280 39662 52641 0.344647 29.382090 82 1 29.382090 82 1.153128 0.455000
281 12885 17476 1.612126 2.158262 8 1 2.158262 8 1.152900 0.455000
284 52696 94624 0.749353 11.807070 29 1 11.807070 29 1.151536 0.458000
286 56851 104751 0.488143 7.899205 32 1 7.899205 32 1.147635 0.468000
287 55271 100244 0.328124 18.709110 29 1 18.709110 29 1.144706 0.475000
288 49993 87043 1.276864 2.300872 14 1 2.300872 14 1.144503 0.475000
290 73588 149635 0.632915 16.817820 80 1 16.817820 80 1.143624 0.478000
292 44422 66724 0.296050 132.030701 217 1 132.030701 217 1.141949 0.482000
293 51092 90353 0.517882 15.199080 25 1 15.199080 25 1.138461 0.491000
294 50120 87327 0.400606 19.959190 37 1 19.959190 37 1.137604 0.493000
296 69152 131016 0.644518 8.668223 14 1 8.668223 14 1.136167 0.496000
298 71820 139860 0.634840 8.060623 23 1 8.060623 23 1.134350 0.501000
301 48718 81269 0.584155 21.251860 56 1 21.251860 56 1.131456 0.509000
302 29379 38542 0.899048 5.494390 23 1 5.494390 23 1.129667 0.513000
303 48669 81035 0.516604 10.930830 28 1 10.930830 28 1.128697 0.516000
307 46625 74780 1.550917 3.788799 19 1 3.788799 19 1.124010 0.529000
309 67760 125363 1.547298 2.256090 8 1 2.256090 8 1.122362 0.533000
310 1389 1967 1.187639 1.794255 4 1 1.794255 4 1.122358 0.533000
313 43548 64590 0.681296 13.865210 44 1 13.865210 44 1.119247 0.542000
315 74652 156440 0.333297 43.531502 129 1 43.531502 129 1.118937 0.543000
321 69197 131346 0.583481 49.070049 113 1 49.070049 113 1.114255 0.556000
322 45501 70526 0.650253 13.973360 26 1 13.973360 26 1.113648 0.558000
323 51294 91162 0.341745 19.680969 44 1 19.680969 44 1.113460 0.558000
324 53181 95936 0.712385 12.678000 41 1 12.678000 41 1.108199 0.574000
