164647 particles, 77640 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
78 63135 112332 3.196405e+00 4.683177e-01 2 1 4.683177e-01 2 31285144321598835270826852352.000000 0.00e+00
79 60156 108891 3.224070e+00 4.545082e-01 3 1 4.545082e-01 3 31016694315330385984186482688.000000 0.00e+00
80 75038 157733 3.253349e+00 5.925738e-01 3 1 5.925738e-01 3 30737559954894444125250125824.000000 0.00e+00
81 41210 56184 3.256847e+00 4.070948e-01 2 1 4.070948e-01 2 30704543529629461000738570240.000000 0.00e+00
82 19487 24474 3.263915e+00 4.331963e-01 3 1 4.331963e-01 3 30638054970733897830952337408.000000 0.00e+00
83 49380 84281 3.323436e+00 5.874737e-01 5 1 5.874737e-01 5 30089346680806583709814751232.000000 0.00e+00
84 19235 23962 3.344970e+00 3.834505e-01 3 1 3.834505e-01 3 29895639930045753732794155008.000000 0.00e+00
85 52270 93445 3.381884e+00 3.320778e-01 2 1 3.320778e-01 2 29569317322529736944059940864.000000 0.00e+00
86 1119 1628 3.391405e+00 8.712765e-01 5 1 8.712765e-01 5 29486302842127371450848378880.000000 0.00e+00
87 32160 41672 3.429900e+00 5.552496e-01 5 1 5.552496e-01 5 29155371204924073888385597440.000000 0.00e+00
88 51081 90297 3.463136e+00 7.255800e-01 9 1 7.255800e-01 9 28875559184897840235361075200.000000 0.00e+00
90 625 955 3.765845e+00 4.356395e-01 3 1 4.356395e-01 3 26554464112536098046732140544.000000 0.00e+00
91 71962 140519 3.770479e+00 3.543630e-01 3 1 3.543630e-01 3 26521825476589744493837680640.000000 0.00e+00
92 22844 29303 3.870059e+00 3.528386e-01 2 1 3.528386e-01 2 25839401018516734933651685376.000000 0.00e+00
94 28230 36941 3.895653e+00 3.833906e-01 3 1 3.833906e-01 3 25669641388190536927509741568.000000 0.00e+00
96 50067 87227 4.000789e+00 8.863684e-01 8 1 8.863684e-01 8 24995072586761781022136729600.000000 0.00e+00
97 8163 10734 4.038557e+00 7.570666e-01 7 1 7.570666e-01 7 24761322529409457888526598144.000000 0.00e+00
98 12940 17560 4.052250e+00 3.286311e-01 3 1 3.286311e-01 3 24677649278882732079807725568.000000 0.00e+00
101 46326 73249 4.085967e+00 9.930573e-01 7 1 9.930573e-01 7 24474011391408427238902726656.000000 0.00e+00
104 1896 2694 4.199834e+00 5.093573e-01 4 1 5.093573e-01 4 23810462232167447650635874304.000000 0.00e+00
105 8185 10791 4.206365e+00 7.911997e-01 8 1 7.911997e-01 8 23773497908522785502725668864.000000 0.00e+00
108 7106 9021 4.283700e+00 5.337551e-01 9 1 5.337551e-01 9 23344307991910419232301514752.000000 0.00e+00
110 19500 24488 4.383834e+00 2.548619e-01 2 1 2.548619e-01 2 22811081980497193242997030912.000000 0.00e+00
112 6490 8198 4.503860e+00 2.940952e-01 3 1 2.940952e-01 3 22203174104340625249460551680.000000 0.00e+00
113 8051 10570 4.649432e+00 3.308322e-01 2 1 3.308322e-01 2 21508003979130350516842790912.000000 0.00e+00
114 11259 15311 4.716666e+00 2.371167e-01 2 1 2.371167e-01 2 21201418502329487410279219200.000000 0.00e+00
116 55047 99652 4.756494e+00 3.080927e-01 2 1 3.080927e-01 2 21023888217955727402938138624.000000 0.00e+00
117 8876 11898 4.821855e+00 6.740643e-01 5 1 6.740643e-01 5 20738907567813992923227226112.000000 0.00e+00
