164647 particles, 452 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
172 56530 103646 0.400789 56.996471 149 1 56.996471 149 1.327635 0.180000
173 37966 49432 0.284543 118.180397 256 1 118.180397 256 1.327386 0.181000
174 12032 16281 0.711843 12.851530 42 1 12.851530 42 1.320952 0.187000
175 43725 65394 0.825930 4.621922 17 1 4.621922 17 1.320300 0.188000
176 38479 50445 0.243719 88.078392 148 1 88.078392 148 1.319574 0.188000
177 640 989 1.054506 2.560397 7 1 2.560397 7 1.319437 0.189000
178 49777 85910 0.184334 180.998199 280 1 180.998199 280 1.317847 0.190000
181 7396 9421 0.252915 60.051762 81 1 60.051762 81 1.315909 0.192000
182 70899 136429 0.321800 97.758408 228 1 97.758408 228 1.313769 0.194000
183 76763 163086 0.216652 107.168198 214 1 107.168198 214 1.312205 0.196000
184 45633 70966 0.514302 26.705879 82 1 26.705879 82 1.311372 0.197000
185 27645 35930 2.148968 2.220301 15 1 2.220301 15 1.311242 0.197000
186 69921 133776 0.701889 11.725730 66 1 11.725730 66 1.310395 0.198000
187 66038 122231 0.344108 14.021650 23 1 14.021650 23 1.303632 0.205000
188 55297 100317 0.845432 14.704370 32 1 14.704370 32 1.301818 0.207000
189 49707 85565 0.875410 9.449356 33 1 9.449356 33 1.299489 0.210000
190 73936 151207 0.415777 29.554770 55 1 29.554770 55 1.298646 0.211000
191 51379 91477 0.588482 23.327009 72 1 23.327009 72 1.297406 0.212000
192 68368 127879 0.410729 22.841459 74 1 22.841459 74 1.297313 0.212000
195 28160 36758 0.748321 4.433628 9 1 4.433628 9 1.293087 0.217000
197 42726 61999 0.700489 4.108193 9 1 4.108193 9 1.290268 0.221000
198 74031 152452 0.399761 43.073959 109 1 43.073959 109 1.285721 0.226000
199 65905 122012 1.767832 2.740688 9 1 2.740688 9 1.282324 0.230000
200 68985 130316 0.988497 7.300103 21 1 7.300103 21 1.281681 0.231000
201 59929 108552 0.941924 3.830111 10 1 3.830111 10 1.281409 0.231000
202 68404 128077 0.150451 250.548904 445 1 250.548904 445 1.281367 0.231000
203 52687 94587 0.745882 10.262960 30 1 10.262960 30 1.281151 0.232000
205 74128 153492 0.880353 7.341743 18 1 7.341743 18 1.279941 0.233000
207 48798 81932 0.243624 163.793396 263 1 163.793396 263 1.275558 0.239000
209 6211 7676 3.210240 1.984656 19 1 1.984656 19 1.271939 0.243000
210 47088 76249 0.323136 44.747589 68 1 44.747589 68 1.271086 0.244000
211 41630 57169 0.610713 13.774800 35 1 13.774800 35 1.268632 0.248000
212 42527 61296 0.924519 4.909770 17 1 4.909770 17 1.268614 0.248000
213 3342 4587 1.323203 6.296674 30 1 6.296674 30 1.267618 0.249000
214 60841 109678 0.237072 76.909180 173 1 76.909180 173 1.267399 0.249000
215 49780 85954 0.277410 65.313210 89 1 65.313210 89 1.267204 0.250000
216 72019 140900 0.191344 166.373703 282 1 166.373703 282 1.265395 0.252000
217 26026 33473 0.941316 2.110465 7 1 2.110465 7 1.265152 0.252000
218 8705 11658 0.478249 16.743170 41 1 16.743170 41 1.262187 0.256000
220 48664 81023 0.391752 55.154240 160 1 55.154240 160 1.256597 0.264000
221 70897 136413 0.358541 39.063801 73 1 39.063801 73 1.255439 0.266000
222 71648 138978 1.132598 4.035008 19 1 4.035008 19 1.252345 0.270000
223 36887 47621 1.554906 1.939988 6 1 1.939988 6 1.249795 0.274000
224 60830 109627 0.458601 26.787960 71 1 26.787960 71 1.249081 0.275000
225 68121 126680 0.347365 59.144051 102 1 59.144051 102 1.247942 0.276000
226 43678 65270 0.351171 83.047607 162 1 83.047607 162 1.246512 0.279000
227 37658 48763 0.481689 12.248290 34 1 12.248290 34 1.245541 0.280000
228 51781 92460 0.345479 30.902821 41 1 30.902821 41 1.242525 0.285000
229 27367 35397 0.219953 80.518913 108 1 80.518913 108 1.240862 0.287000
230 68782 129606 1.208032 7.033893 38 1 7.033893 38 1.240428 0.288000
231 68426 128196 0.650696 4.549547 11 1 4.549547 11 1.239706 0.289000
232 47598 78036 0.265326 26.366871 87 1 26.366871 87 1.238844 0.290000
233 48731 81443 0.549693 17.781099 62 1 17.781099 62 1.237532 0.292000
234 48780 81812 0.171521 151.442993 225 1 151.442993 225 1.237055 0.293000
235 71383 137561 0.807505 10.147430 28 1 10.147430 28 1.231294 0.302000
236 49054 83085 0.626567 19.592199 53 1 19.592199 53 1.230545 0.303000
237 28694 37683 0.370846 21.828880 44 1 21.828880 44 1.229413 0.305000
238 46534 74307 0.312952 60.095081 106 1 60.095081 106 1.226719 0.309000
239 67740 125301 0.540583 33.243790 89 1 33.243790 89 1.226455 0.310000
241 56596 103857 0.525715 11.112960 41 1 11.112960 41 1.223930 0.314000
242 67753 125349 0.514957 10.366840 20 1 10.366840 20 1.220578 0.320000
244 48459 80417 0.710705 4.128163 7 1 4.128163 7 1.215913 0.327000
245 25902 33236 0.503778 46.180340 130 1 46.180340 130 1.214753 0.329000
248 73127 146826 0.453704 20.991030 48 1 20.991030 48 1.204136 0.348000
249 27543 35776 2.003838 2.972609 14 1 2.972609 14 1.201670 0.353000
251 13064 17717 0.666252 16.201191 83 1 16.201191 83 1.197234 0.361000
253 6596 8488 0.701140 4.434657 8 1 4.434657 8 1.194247 0.367000
254 54565 98732 2.175354 2.751306 28 1 2.751306 28 1.192145 0.371000
255 73674 149760 0.156149 238.216507 434 1 238.216507 434 1.191849 0.372000
256 69253 131850 0.572315 26.736059 68 1 26.736059 68 1.191814 0.372000
257 72337 142889 0.424758 50.199440 106 1 50.199440 106 1.190655 0.374000
258 25964 33356 0.721833 5.465121 19 1 5.465121 19 1.190432 0.374000
259 53451 96798 0.377827 24.679041 64 1 24.679041 64 1.189144 0.377000
260 39798 52933 0.278564 21.705311 30 1 21.705311 30 1.187797 0.379000
261 55330 100397 0.379531 33.381641 88 1 33.381641 88 1.186925 0.381000
262 47503 77694 0.566773 11.993520 36 1 11.993520 36 1.184251 0.387000
263 65289 119699 0.447558 18.278790 29 1 18.278790 29 1.183825 0.387000
264 51174 90676 0.886346 3.403700 15 1 3.403700 15 1.183293 0.389000
265 68098 126454 0.745650 2.424102 10 1 2.424102 10 1.178714 0.398000
266 42481 61009 0.387106 33.586521 94 1 33.586521 94 1.177789 0.400000
267 72204 142181 0.613431 14.888100 42 1 14.888100 42 1.177597 0.400000
268 55651 101364 0.884355 13.596130 84 1 13.596130 84 1.177392 0.401000
269 71399 137652 0.296845 36.158161 44 1 36.158161 44 1.175041 0.406000
270 48679 81067 0.245242 120.657303 274 1 120.657303 274 1.173887 0.408000
271 55147 99902 1.550206 2.491391 18 1 2.491391 18 1.173200 0.410000
272 65176 119383 0.343720 12.124800 23 1 12.124800 23 1.170900 0.414000
273 73169 147211 0.433356 19.422609 36 1 19.422609 36 1.170000 0.416000
274 47556 77897 0.416033 40.294231 110 1 40.294231 110 1.167722 0.421000
275 7784 10151 0.357865 29.366249 83 1 29.366249 83 1.166151 0.425000
276 49656 85309 0.920240 3.876877 9 1 3.876877 9 1.164205 0.429000
278 40602 54640 0.503607 10.966800 43 1 10.966800 43 1.158439 0.442000
279 66145 122451 1.808421 2.534421 14 1 2.534421 14 1.157370 0.445000
280 39662 52641 0.344647 29.382090 82 1 29.382090 82 1.153128 0.455000
281 12885 17476 1.612126 2.158262 8 1 2.158262 8 1.152900 0.455000
283 12126 16470 0.740027 7.367244 31 1 7.367244 31 1.152203 0.457000
284 52696 94624 0.749353 11.807070 29 1 11.807070 29 1.151536 0.458000
286 56851 104751 0.488143 7.899205 32 1 7.899205 32 1.147635 0.468000
287 55271 100244 0.328124 18.709110 29 1 18.709110 29 1.144706 0.475000
288 49993 87043 1.276864 2.300872 14 1 2.300872 14 1.144503 0.475000
289 52795 94986 0.261608 58.964939 89 1 58.964939 89 1.144470 0.476000
290 73588 149635 0.632915 16.817820 80 1 16.817820 80 1.143624 0.478000
292 44422 66724 0.296050 132.030701 217 1 132.030701 217 1.141949 0.482000
293 51092 90353 0.517882 15.199080 25 1 15.199080 25 1.138461 0.491000
294 50120 87327 0.400606 19.959190 37 1 19.959190 37 1.137604 0.493000
295 44973 68750 0.211942 82.998909 116 1 82.998909 116 1.136928 0.495000
296 69152 131016 0.644518 8.668223 14 1 8.668223 14 1.136167 0.496000
298 71820 139860 0.634840 8.060623 23 1 8.060623 23 1.134350 0.501000
300 8706 11659 0.400729 42.047611 117 1 42.047611 117 1.132066 0.507000
301 48718 81269 0.584155 21.251860 56 1 21.251860 56 1.131456 0.509000
302 29379 38542 0.899048 5.494390 23 1 5.494390 23 1.129667 0.513000
303 48669 81035 0.516604 10.930830 28 1 10.930830 28 1.128697 0.516000
304 48193 79771 0.346080 14.771520 16 1 14.771520 16 1.128231 0.517000
305 75149 158168 0.948360 13.136260 43 1 13.136260 43 1.128202 0.517000
306 67721 125235 0.481898 38.744701 133 1 38.744701 133 1.124676 0.527000
307 46625 74780 1.550917 3.788799 19 1 3.788799 19 1.124010 0.529000
308 36970 47728 0.528443 7.988243 25 1 7.988243 25 1.122879 0.532000
309 67760 125363 1.547298 2.256090 8 1 2.256090 8 1.122362 0.533000
310 1389 1967 1.187639 1.794255 4 1 1.794255 4 1.122358 0.533000
312 47488 77622 0.277775 69.566437 158 1 69.566437 158 1.119506 0.541000
313 43548 64590 0.681296 13.865210 44 1 13.865210 44 1.119247 0.542000
314 46582 74660 0.229307 101.253998 167 1 101.253998 167 1.119202 0.542000
315 74652 156440 0.333297 43.531502 129 1 43.531502 129 1.118937 0.543000
316 69478 132780 0.333501 58.034801 93 1 58.034801 93 1.117990 0.545000
317 64162 114599 1.370704 5.200345 29 1 5.200345 29 1.117549 0.547000
318 47655 78293 0.310363 55.475780 63 1 55.475780 63 1.115964 0.551000
321 69197 131346 0.583481 49.070049 113 1 49.070049 113 1.114255 0.556000
322 45501 70526 0.650253 13.973360 26 1 13.973360 26 1.113648 0.558000
323 51294 91162 0.341745 19.680969 44 1 19.680969 44 1.113460 0.558000
324 53181 95936 0.712385 12.678000 41 1 12.678000 41 1.108199 0.574000
325 52550 94167 0.440015 18.510361 33 1 18.510361 33 1.107742 0.575000
326 46835 75455 0.327426 26.381620 50 1 26.381620 50 1.106815 0.578000
327 47937 79274 1.054434 3.242100 17 1 3.242100 17 1.104082 0.586000
328 70219 135328 0.760592 10.522370 38 1 10.522370 38 1.102325 0.591000
329 52393 93640 0.789497 3.254004 8 1 3.254004 8 1.100581 0.597000
330 27934 36404 0.612607 9.611633 27 1 9.611633 27 1.100576 0.597000
331 64455 116386 0.462173 7.394422 15 1 7.394422 15 1.099101 0.601000
332 64312 115540 0.373661 9.754453 18 1 9.754453 18 1.098734 0.602000
333 72657 144458 0.792257 7.952541 32 1 7.952541 32 1.095812 0.612000
334 40928 55489 0.868213 4.505014 10 1 4.505014 10 1.094568 0.616000
335 48408 80255 0.620592 9.110318 30 1 9.110318 30 1.094422 0.616000
336 72277 142481 0.189616 36.567902 62 1 36.567902 62 1.092363 0.623000
338 41822 57866 0.873856 4.885751 22 1 4.885751 22 1.087499 0.638000
339 52567 94222 0.306699 20.842211 78 1 20.842211 78 1.084837 0.647000
340 3061 4251 1.507600 10.504470 66 1 10.504470 66 1.083910 0.650000
341 67748 125327 0.742682 6.060244 20 1 6.060244 20 1.083864 0.650000
342 10789 14584 0.728674 17.662680 54 1 17.662680 54 1.083682 0.651000
343 68945 130050 0.757972 12.057360 40 1 12.057360 40 1.083287 0.652000
344 58404 106832 0.937859 2.131115 2 1 2.131115 2 1.079650 0.665000
345 42188 59517 0.394800 16.818741 20 1 16.818741 20 1.078130 0.670000
346 42117 59142 0.463098 25.389500 61 1 25.389500 61 1.077079 0.674000
347 36690 47097 0.256997 35.735531 80 1 35.735531 80 1.076822 0.674000
348 56601 103881 1.116494 2.675876 5 1 2.675876 5 1.071272 0.694000
349 44645 67255 0.935837 6.092973 31 1 6.092973 31 1.071190 0.694000
350 25435 32370 0.721684 5.956181 12 1 5.956181 12 1.069444 0.700000
351 47368 77142 0.469244 30.242849 68 1 30.242849 68 1.066902 0.710000
352 40008 53336 0.575661 14.416630 50 1 14.416630 50 1.065941 0.713000
353 65452 120126 0.201999 80.789818 137 1 80.789818 137 1.065019 0.717000
